"Wavelength (nm)", "Reflectance (%)"
440.26, 36.9686
440.99, 36.2977
441.73, 35.6886
442.47, 35.1269
443.2, 34.466
443.94, 33.7383
444.68, 32.9986
445.41, 32.2704
446.15, 31.4697
446.88, 30.6704
447.62, 29.8953
448.35, 29.1153
449.09, 28.3173
449.82, 27.5729
450.56, 26.8612
451.3, 26.1115
452.03, 25.3624
452.77, 24.5548
453.5, 23.7163
454.24, 22.8939
454.97, 22.1226
455.71, 21.3407
456.44, 20.6193
457.17, 19.9187
457.91, 19.2656
458.64, 18.5965
459.38, 17.9476
460.11, 17.3449
460.85, 16.8004
461.58, 16.2494
462.32, 15.6839
463.05, 15.1254
463.78, 14.6368
464.52, 14.2426
465.25, 13.9622
465.98, 13.6642
466.72, 13.4054
467.45, 13.1339
468.19, 12.9015
468.92, 12.7198
469.65, 12.5964
470.39, 12.5032
471.12, 12.4238
471.85, 12.4485
472.58, 12.4937
473.32, 12.564
474.05, 12.653
474.78, 12.7996
475.52, 13.0035
476.25, 13.2204
476.98, 13.4923
477.71, 13.7741
478.45, 14.1555
479.18, 14.553
479.91, 14.9725
480.64, 15.3469
481.38, 15.7734
482.11, 16.2338
482.84, 16.7583
483.57, 17.2862
484.3, 17.8765
485.03, 18.4037
485.77, 18.8681
486.5, 19.2228
487.23, 19.6682
487.96, 20.1697
488.69, 20.8002
489.42, 21.4504
490.16, 22.145
490.89, 22.7792
491.62, 23.3442
492.35, 23.8702
493.08, 24.4309
493.81, 25.0128
494.54, 25.583
495.27, 26.0841
496, 26.5939
496.73, 27.1131
497.46, 27.6929
498.19, 28.256
498.92, 28.7171
499.65, 29.1736
500.38, 29.6747
501.11, 30.2697
501.84, 30.771
502.57, 31.2288
503.3, 31.6683
504.03, 32.0841
504.76, 32.5183
505.49, 32.9033
506.22, 33.2928
506.95, 33.6479
507.68, 34.0504
508.41, 34.4735
509.14, 34.7758
509.87, 35.0757
510.6, 35.4237
511.33, 35.8025
512.06, 36.119
512.79, 36.3078
513.51, 36.5741
514.24, 36.846
514.97, 37.1444
515.7, 37.3607
516.43, 37.4981
517.16, 37.6198
517.89, 37.779
518.61, 37.9856
519.34, 38.1862
520.07, 38.3743
520.8, 38.5268
521.53, 38.6448
522.25, 38.6666
522.98, 38.6658
523.71, 38.7504
524.44, 38.842
525.16, 38.8846
525.89, 38.8401
526.62, 38.8199
527.35, 38.9011
528.07, 38.9523
528.8, 38.9644
529.53, 38.9123
530.26, 38.8101
530.98, 38.7495
531.71, 38.6511
532.44, 38.5533
533.16, 38.5078
533.89, 38.3889
534.62, 38.3089
535.34, 38.1097
536.07, 37.9305
536.8, 37.7161
537.52, 37.5653
538.25, 37.3696
538.97, 37.2115
539.7, 36.9981
540.43, 36.8315
541.15, 36.6358
541.88, 36.4151
542.6, 36.1339
543.33, 35.868
544.06, 35.6216
544.78, 35.352
545.51, 35.0968
546.23, 34.775
546.96, 34.4897
547.68, 34.1322
548.41, 33.7912
549.13, 33.4804
549.86, 33.1659
550.58, 32.848
551.31, 32.4545
552.03, 32.1115
552.76, 31.7945
553.48, 31.469
554.21, 31.0602
554.93, 30.586
555.65, 30.1563
556.38, 29.7723
557.1, 29.4097
557.83, 29.0102
558.55, 28.5995
559.28, 28.1805
560, 27.7871
560.72, 27.3959
561.45, 26.9787
562.17, 26.539
562.89, 26.0962
563.62, 25.639
564.34, 25.1613
565.06, 24.7187
565.79, 24.2319
566.51, 23.768
567.23, 23.2785
567.96, 22.7637
568.68, 22.2606
569.4, 21.7924
570.13, 21.3181
570.85, 20.8606
571.57, 20.3887
572.29, 19.9414
573.02, 19.5094
573.74, 19.0941
574.46, 18.6831
575.18, 18.2565
575.91, 17.84
576.63, 17.4357
577.35, 17.0197
578.07, 16.6197
578.79, 16.2129
579.52, 15.7979
580.24, 15.4097
580.96, 15.0385
581.68, 14.697
582.4, 14.3855
583.12, 14.0533
583.85, 13.72
584.57, 13.3854
585.29, 13.0528
586.01, 12.7469
586.73, 12.4466
587.45, 12.1475
588.17, 11.8692
588.89, 11.6082
589.61, 11.3582
590.34, 11.111
591.06, 10.8595
591.78, 10.6129
592.5, 10.3868
593.22, 10.1778
593.94, 9.9922
594.66, 9.8269
595.38, 9.6596
596.1, 9.5144
596.82, 9.3882
597.54, 9.2704
598.26, 9.1683
598.98, 9.0749
599.7, 8.9852
600.42, 8.9166
601.14, 8.8684
601.86, 8.8418
602.58, 8.8257
603.3, 8.8278
604.01, 8.8356
604.73, 8.8594
605.45, 8.8919
606.17, 8.9339
606.89, 8.9813
607.61, 9.0436
608.33, 9.1182
609.05, 9.1993
609.77, 9.2873
610.49, 9.3891
611.2, 9.5098
611.92, 9.6626
612.64, 9.8276
613.36, 10.0043
614.08, 10.2025
614.8, 10.3854
615.51, 10.5706
616.23, 10.7771
616.95, 10.9937
617.67, 11.2242
618.38, 11.4617
619.1, 11.7026
619.82, 11.9441
620.54, 12.1944
621.26, 12.4727
621.97, 12.7396
622.69, 13.0161
623.41, 13.2887
624.12, 13.5424
624.84, 13.8099
625.56, 14.118
626.28, 14.4002
626.99, 14.7034
627.71, 15.0252
628.43, 15.337
629.14, 15.6476
629.86, 15.9571
630.58, 16.2838
631.29, 16.5997
632.01, 16.9248
632.72, 17.2579
633.44, 17.6004
634.16, 17.9304
634.87, 18.2414
635.59, 18.5387
